Plate ID,Row,Column,Genotype,Mouse,Region,Experiment Date,DOB,Cage
Cal_JB-001,A,1,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,A,2,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,A,3,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,A,4,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,A,5,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,A,6,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,A,7,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,A,8,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,A,9,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,A,10,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,A,11,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,A,12,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,A,13,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,A,14,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,A,15,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,A,16,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,A,17,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,A,18,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,A,19,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,A,20,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,A,21,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,A,22,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,A,23,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,A,24,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,B,1,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,B,2,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,B,3,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,B,4,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,B,5,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,B,6,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,B,7,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,B,8,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,B,9,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,B,10,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,B,11,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,B,12,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,B,13,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,B,14,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,B,15,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,B,16,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,B,17,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,B,18,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,B,19,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,B,20,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,B,21,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,B,22,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,B,23,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,B,24,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,C,1,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,C,2,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,C,3,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,C,4,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,C,5,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,C,6,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,C,7,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,C,8,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,C,9,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,C,10,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,C,11,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,C,12,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,C,13,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,C,14,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,C,15,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,C,16,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,C,17,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,C,18,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,C,19,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,C,20,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,C,21,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,C,22,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,C,23,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,C,24,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,D,1,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,D,2,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,D,3,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,D,4,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,D,5,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,D,6,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,D,7,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,D,8,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,D,9,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,D,10,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,D,11,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,D,12,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,D,13,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,D,14,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,D,15,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,D,16,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,D,17,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,D,18,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,D,19,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,D,20,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,D,21,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,D,22,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,D,23,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,D,24,WT,4798,D,11/10/2023,6/5/2023,1
Cal_JB-001,E,1,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,E,2,WT,4798,P,11/10/2023,6/5/2023,1
Cal_JB-001,E,3,WT,4798,P,11/10/2023,6/5/2023,1
