Plate ID,Row,Column,Genotype,Mouse,Region,Experiment Date,DOB,Cage,
Cal-JB-002,A,1,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,A,2,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,A,3,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,A,4,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,A,5,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,A,6,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,A,7,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,A,8,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,A,9,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,A,10,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,A,11,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,A,12,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,A,13,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,A,14,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,A,15,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,A,16,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,A,17,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,A,18,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,A,19,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,A,20,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,A,21,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,A,22,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,A,23,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,A,24,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,B,1,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,B,2,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,B,3,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,B,4,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,B,5,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,B,6,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,B,7,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,B,8,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,B,9,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,B,10,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,B,11,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,B,12,WT,4799,P,11/10/2023,6/5/2023,1,
Cal-JB-002,B,13,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,B,14,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,B,15,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,B,16,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,B,17,WT,4799,D,11/10/2023,6/5/2023,1,
Cal-JB-002,B,18,WT,4799,D,11/10/2023,6/5/2023,1,
